formula,trace,synthesized stl,theta optimal value,optimization time,test result,robustness,error,,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace11_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace34_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace14_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace52_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[False],[0.0],,0,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace94_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace33_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace55_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace87_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[False],[0.0],,0,,,
,,,,,,,,,,,
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace18_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,AVERAGE,-17.4
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace13_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,WORST VIO,-19
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace82_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,AVG VIOL,-19
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace59_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,PASS,8
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace92_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[True],[1.0],,1,,,
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace49_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,,
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace28_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,,
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace74_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,,
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace45_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[True],[1.0],,1,,,
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace79_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,,
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace70_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,,
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace47_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,,
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace35_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,,
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace36_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,,
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace41_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,,
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace95_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,,
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace53_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,,
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace05_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,,
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace37_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[True],[1.0],,1,,,
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace46_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,,
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace40_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,,
"G[0,2000]((surface < 64 | surface > 64) -> F[0,120](surface < 65 & surface > 63))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace89_postprocessed.csv,"G[0.0,2000.0](((surface < 64.0) | (surface > 64.0)) => F[0.0,120.0]((surface < 65.0) & (surface > 63.0)))",,,[False],[-19.0],,-19,,,
