#{"t_start": 1762226713.291023, "env_id": "None"}
r,l,t
-327.808999,2221,2859.891778
-259.308999,2221,2866.349056
-441.753444,2221,2886.36272
-270.253442,2221,2892.782003
-312.308995,2221,2913.742474
-203.309,2221,2920.173107
-320.808999,2221,2939.813961
-305.309002,2221,2946.210794
-267.809001,2221,2965.207432
-292.809002,2221,2972.535307
-244.809,2221,2991.682268
-311.808999,2221,2998.081292
-338.809001,2221,3018.159797
-373.308997,2221,3038.540968
-354.309002,2221,3045.223731
-351.253444,2221,3064.460097
-354.808997,2221,3072.033568
-321.309001,2221,3091.385607
-351.808997,2221,3097.744475
-353.309,2221,3117.940598
-316.309,2221,3124.284172
-319.309,2221,3144.43226
-356.309005,2221,3150.685313
-354.808997,2221,3171.148781
-305.309001,2221,3190.55845
-295.309,2221,3197.11966
-341.809002,2221,3216.934918
-307.809001,2221,3223.497124
-333.308998,2221,3243.418095
-336.308999,2221,3249.898914
-374.808998,2221,3269.754694
-301.808999,2221,3276.110468
-320.309003,2221,3295.562317
-299.808999,2221,3302.923498
-292.753442,2221,3322.538529
-319.753441,2221,3342.415013
-273.809003,2221,3349.008276
-275.309003,2221,3369.163988
-320.808998,2221,3375.649421
-339.308999,2221,3394.518707
-306.809,2221,3401.921849
-384.753444,2221,3421.496014
-237.309,2221,3427.744882
-280.809002,2221,3447.91293
-314.309002,2221,3454.545949
-251.308997,2221,3474.436362
-275.753445,2221,3480.675422
-262.308996,2221,3500.753501
-307.309001,2221,3519.759578
-293.308998,2221,3526.203259
-275.809001,2221,3546.466418
-242.808997,2221,3552.978984
-302.808999,2221,3573.070047
-288.809002,2221,3579.66721
-335.753444,2221,3598.903922
-378.753443,2221,3606.232338
-316.309002,2221,3625.566871
-317.309002,2221,3631.844276
-324.309001,2221,3652.057075
-306.808999,2221,3672.394764
-356.809001,2221,3679.050431
-386.253446,2221,3698.361286
-312.309,2221,3706.11338
-323.808999,2221,3725.718368
-334.308998,2221,3733.150692
-284.808997,2221,3752.703245
-378.808998,2221,3759.267355
-367.809003,2221,3779.745306
-352.809001,2221,3785.982139
-337.808995,2221,3806.182528
