time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,train/entropy_loss,train/loss,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/approx_kl,train/clip_range,train/n_updates,train/learning_rate
2367,-288.41122219,583680,95,246,2221.0,-6.485878482460976,0.408674031496048,0.9979745149612427,0.014801859923560793,1.0734515252212684,0.3214111328125,0.024034118,0.2,376,0.00025
2392,-285.491222,589824,96,246,2221.0,-6.385320822397868,0.24993188679218292,0.998551607131958,0.037216343572557285,0.7166231969992319,0.4651692708333333,0.090685524,0.2,380,0.00025
2418,-284.63177776000003,595968,97,246,2221.0,-6.12024250626564,0.2687080502510071,0.9987391829490662,0.0070474420305496705,0.6056130658835173,0.2557779947916667,0.015033342,0.2,384,0.00025
2443,-279.19622216000005,602112,98,246,2221.0,-6.072433551152547,0.27280816435813904,0.9989912509918213,0.005916145780550626,0.6398677801092466,0.2579752604166667,0.021434529,0.2,388,0.00025
2468,-281.15177777,608256,99,246,2221.0,-6.111587668458621,0.1918146014213562,0.9992481470108032,0.007775182900028692,0.5293092482412854,0.24454752604166666,0.02096305,0.2,392,0.00025
2493,-284.68566658000003,614400,100,246,2221.0,-6.181459267934163,0.6614734530448914,0.9989858269691467,0.018839427893302247,0.6739813598493735,0.3842366536458333,0.03934516,0.2,396,0.00025
2519,-290.61122200000005,620544,101,246,2221.0,-6.1818051387866335,0.2790601849555969,0.9988792538642883,0.011778912994486745,1.079555096104741,0.24165852864583334,0.012351818,0.2,400,0.00025
2544,-291.2067774100001,626688,102,246,2221.0,-6.223876848816872,0.27014589309692383,0.9989888668060303,0.005800083649470859,0.9858963644752899,0.233642578125,0.014470279,0.2,404,0.00025
2569,-305.34733305000003,632832,103,246,2221.0,-6.101691832145055,0.23563215136528015,0.9985600709915161,0.006880848537548445,0.9373786778499683,0.23673502604166666,0.012572204,0.2,408,0.00025
2594,-310.15788858,638976,104,246,2221.0,-6.127922927339871,0.24235118925571442,0.9992169737815857,0.0050599608875927515,0.8726554214954376,0.21256510416666666,0.014813489,0.2,412,0.00025
2619,-316.72844425000005,645120,105,246,2221.0,-6.204638992746671,0.19716262817382812,0.9990508556365967,0.002473954768599166,0.9388698507100344,0.22212727864583334,0.010045574,0.2,416,0.00025
2645,-321.0428886100001,651264,106,246,2221.0,-6.295692120989163,0.3238558769226074,0.9991894364356995,0.006541859154822305,0.8595430450513959,0.23128255208333334,0.014104764,0.2,420,0.00025
2670,-321.88344416,657408,107,246,2221.0,-6.3608104437589645,0.23081013560295105,0.9991730451583862,0.005884270998649299,0.8364443819349011,0.216552734375,0.011765256,0.2,424,0.00025
2694,-320.86344417,663552,108,246,2221.0,-6.288539320230484,0.2651541829109192,0.9990003108978271,0.0016077276717017714,0.9103738038490216,0.19632975260416666,0.0129992105,0.2,428,0.00025
2720,-316.32233321,669696,109,246,2221.0,-6.145036573211352,0.2637956738471985,0.9986234903335571,0.006296215485538899,0.8798824322099487,0.20381673177083334,0.012428847,0.2,432,0.00025
2745,-314.06622221000003,675840,110,246,2221.0,-6.14826741317908,0.19657224416732788,0.9990487098693848,0.010223650868283585,0.8649066252013048,0.2562255859375,0.02013488,0.2,436,0.00025
2771,-312.32122234,681984,111,246,2221.0,-6.439636314908664,0.25179800391197205,0.9990696310997009,0.010022410303160237,0.8732231442506114,0.2706705729166667,0.020899126,0.2,440,0.00025
2796,-308.12622230000005,688128,112,246,2221.0,-6.405238370100657,0.17670103907585144,0.9992843866348267,0.005088772481637231,0.7852675669516126,0.20511881510416666,0.01491826,0.2,444,0.00025
2821,-307.01011122000006,694272,113,246,2221.0,-6.389190047979355,0.15289705991744995,0.999178409576416,0.008834235522954259,0.8266889381532868,0.2802734375,0.01933222,0.2,448,0.00025
2846,-305.52011122000005,700416,114,246,2221.0,-6.488409946362178,0.2517939507961273,0.9990510940551758,0.005544784275116399,0.8311889162287116,0.2537434895833333,0.015340425,0.2,452,0.00025
2872,-302.12900019000006,706560,115,245,2221.0,-6.255087211728096,1.0553393363952637,0.9988295435905457,0.009495243371929973,1.636466885296007,0.2578125,0.013544249,0.2,456,0.00025
2896,-303.26177775,712704,116,246,2221.0,-6.213550910353661,1.0528216361999512,0.9986435174942017,0.007882683193505121,1.6075265649706125,0.2899169921875,0.018420814,0.2,460,0.00025
2923,-299.22566646000007,718848,117,245,2221.0,-6.3522488822539644,0.45169147849082947,0.9988399744033813,0.04075286768784281,0.9934869799762964,0.4463704427083333,0.064060606,0.2,464,0.00025
2948,-296.39566636,724992,118,245,2221.0,-6.3396055996418,0.3841468393802643,0.9984952807426453,0.014979704062473806,1.1023619764794905,0.3374837239583333,0.02614599,0.2,468,0.00025
2973,-291.48122189000003,731136,119,245,2221.0,-6.371690044800441,0.12129868566989899,0.99907386302948,0.03362532447499689,0.5660939269388715,0.4855550130208333,0.028009107,0.2,472,0.00025
2997,-291.03122199000006,737280,120,245,2221.0,-6.410843963424365,0.13842087984085083,0.9991981983184814,0.03043301498595004,0.5620298627763987,0.4278971354166667,0.027716458,0.2,476,0.00025
3023,-293.62622200000004,743424,121,245,2221.0,-6.415893758336703,0.19441930949687958,0.9991229772567749,0.017494608662673272,0.5208420607571801,0.3722737630208333,0.03035841,0.2,480,0.00025
3049,-297.81733315,749568,122,245,2221.0,-6.259691148996353,0.7371242642402649,0.9980968236923218,0.020556536910589784,0.6272991684575876,0.3907470703125,0.055134464,0.2,484,0.00025
3075,-301.57177759000007,755712,123,245,2221.0,-6.302887171506882,0.1789887547492981,0.999076783657074,0.014432901094551198,0.8257015359898409,0.3115641276041667,0.012902056,0.2,488,0.00025
3099,-303.77344419,761856,124,245,2221.0,-6.302146782477696,0.2159411907196045,0.9992366433143616,0.01014021109949681,0.7496707703297337,0.2643229166666667,0.016384676,0.2,492,0.00025
3125,-306.60511089000005,768000,125,245,2221.0,-6.377309088905652,0.2759179472923279,0.9991399645805359,0.008921613669372164,0.7912041684612632,0.2816975911458333,0.01664426,0.2,496,0.00025
3150,-314.28566667,774144,126,245,2221.0,-6.457551712791125,0.2782328426837921,0.9991676211357117,0.00792258116901697,0.7792830703159174,0.2594807942708333,0.023045177,0.2,500,0.00025
3176,-315.62677775000003,780288,127,245,2221.0,-6.429739018281301,0.2478618174791336,0.999189555644989,0.008843909057759447,0.7673374529307088,0.2569173177083333,0.027826672,0.2,504,0.00025
3202,-322.00733341,786432,128,245,2221.0,-6.32021701335907,0.3110834062099457,0.9988217949867249,0.006146352922466273,0.7400122567390403,0.24300130208333334,0.014462403,0.2,508,0.00025
3227,-327.05177782000004,792576,129,245,2221.0,-6.331391543149948,0.3252967596054077,0.9991661310195923,0.0069843358505750075,0.7257723311583201,0.23909505208333334,0.019250186,0.2,512,0.00025
3252,-325.66566667,798720,130,245,2221.0,-6.401770020524661,0.3446117043495178,0.9992406964302063,0.007310432391629244,0.734822430027028,0.24259440104166666,0.021958575,0.2,516,0.00025
3277,-325.67511111000005,804864,131,245,2221.0,-6.4621487110853195,0.32633692026138306,0.9992077350616455,0.010611722187604755,0.7295415345579386,0.2720947265625,0.016742736,0.2,520,0.00025
3303,-322.1856665900001,811008,132,245,2221.0,-6.577578887343407,0.21526703238487244,0.9993982911109924,0.007097018002241384,0.6351801675433913,0.22810872395833334,0.013712089,0.2,524,0.00025
3328,-321.99511096000003,817152,133,245,2221.0,-6.533695340156555,0.2581126093864441,0.9993264675140381,0.007191855838755146,0.6603939638783535,0.2521158854166667,0.022786906,0.2,528,0.00025
3353,-318.98511099,823296,134,245,2221.0,-6.568605030576388,0.3177623450756073,0.9989052414894104,0.01165838571129522,0.7422955973694721,0.3122151692708333,0.028830571,0.2,532,0.00025
3379,-315.97011114000003,829440,135,245,2221.0,-6.499600286285083,0.2764297425746918,0.9989925622940063,0.0179529559633617,0.7161987588430444,0.3766276041666667,0.043343406,0.2,536,0.00025
3404,-312.40455557000007,835584,136,245,2221.0,-6.4170039892196655,0.18714089691638947,0.9992568492889404,0.014903552439742876,0.5934221170221766,0.3406982421875,0.019521236,0.2,540,0.00025
3429,-307.8895553400001,841728,137,245,2221.0,-6.552934542298317,0.36753755807876587,0.9993179440498352,0.01624880293093156,0.5860061996305982,0.3541259765625,0.024945848,0.2,544,0.00025
3455,-303.2639998100001,847872,138,245,2221.0,-6.678955892721812,0.37031447887420654,0.999217689037323,0.01269651952558585,0.7156460797414184,0.3116048177083333,0.030431101,0.2,548,0.00025
3480,-295.52511089,854016,139,245,2221.0,-6.636472637454669,0.30456870794296265,0.9990704655647278,0.03507754371579116,0.5920287113015851,0.4715983072916667,0.05495951,0.2,552,0.00025
3505,-295.71344423000005,860160,140,245,2221.0,-6.638938431938489,0.2018844187259674,0.9989963173866272,0.01716639585356461,0.5145336103936037,0.3792724609375,0.04161006,0.2,556,0.00025
